basis,calculation,ncores,time
light,dipole,1024,172.451
light,dipole,128,808.352
light,dipole,256,460.687
light,dipole,512,270.774
light,dipole,768,203.258
light,scf,1024,31.141
light,scf,128,93.759
light,scf,256,62.65
light,scf,512,45.432
light,scf,768,40.328
intermediate,dipole,1024,343.294
intermediate,dipole,128,1683.269
intermediate,dipole,256,928.045
intermediate,dipole,512,517.06
intermediate,scf,1024,78.34
intermediate,scf,128,235.758
intermediate,scf,256,157.53
intermediate,scf,512,97.629
tight,dipole,1024,781.796
tight,dipole,128,3473.877
tight,dipole,256,2204.164
tight,dipole,512,1240.919
tight,scf,1024,144.364
tight,scf,128,535.053
tight,scf,256,293.73
tight,scf,512,200.258
