basis,ncores,dipole,scf,time
intermediate,128,1683.269,235.758,1447.511
intermediate,256,928.045,157.53,770.515
intermediate,512,517.06,97.629,419.4309999999999
intermediate,1024,343.294,78.34,264.95399999999995
light,128,808.352,93.759,714.593
light,256,460.687,62.65,398.03700000000003
light,512,270.774,45.432,225.34199999999998
light,768,203.258,40.328,162.93
light,1024,172.451,31.141,141.31
tight,128,3473.877,535.053,2938.824
tight,256,2204.164,293.73,1910.4340000000002
tight,512,1240.919,200.258,1040.661
tight,1024,781.796,144.364,637.432
