calculation,method,ncores,time,peak_memory_mb
dipole,LAPACK,8,1694.815,1348.417
dipole,LAPACK,16,1137.191,1179.936
dipole,LAPACK,32,734.113,1138.676
dipole,LAPACK,64,474.102,1118.054
dipole,LAPACK,128,346.704,1107.737
dipole,LAPACK,256,314.084,1102.593
dipole,LAPACK,512,290.108,1100.01
dipole,LAPACK,1024,278.197,1098.713
scf,LAPACK,8,944.48,722.269
scf,LAPACK,16,686.325,639.785
scf,LAPACK,32,395.768,598.528
scf,LAPACK,64,171.444,577.905
scf,LAPACK,128,112.243,567.573
scf,LAPACK,256,73.112,562.445
scf,LAPACK,512,68.11,559.851
scf,LAPACK,1024,59.992,558.565
dipole,ScaLAPACK,8,2052.755,1782.021
dipole,ScaLAPACK,16,1489.507,1062.015
dipole,ScaLAPACK,32,837.721,659.515
dipole,ScaLAPACK,64,458.633,428.491
dipole,ScaLAPACK,128,250.294,293.399
dipole,ScaLAPACK,256,161.3,223.217
dipole,ScaLAPACK,512,132.402,180.736
dipole,ScaLAPACK,1024,124.606,151.369
scf,ScaLAPACK,8,845.783,726.635
scf,ScaLAPACK,16,639.148,447.209
scf,ScaLAPACK,32,284.71,290.141
scf,ScaLAPACK,64,144.881,193.085
scf,ScaLAPACK,128,76.104,140.697
scf,ScaLAPACK,256,48.957,111.365
scf,ScaLAPACK,512,44.267,95.211
scf,ScaLAPACK,1024,43.378,81.662
