calculation,method,ncores,time,peak_memory_mb
dipole,LAPACK,8,1785.342,1434.605
dipole,LAPACK,16,1236.19,1266.097
dipole,LAPACK,32,744.208,1138.864
dipole,LAPACK,64,474.54,1118.241
dipole,LAPACK,128,347.595,1107.931
dipole,LAPACK,256,313.206,1102.781
dipole,LAPACK,512,291.567,1100.198
dipole,LAPACK,1024,281.573,1098.907
scf,LAPACK,8,944.48,722.269
scf,LAPACK,16,686.325,639.785
scf,LAPACK,32,395.768,598.528
scf,LAPACK,64,171.444,577.905
scf,LAPACK,128,112.243,567.573
scf,LAPACK,256,73.112,562.445
scf,LAPACK,512,68.11,559.851
scf,LAPACK,1024,59.992,558.565
dipole,ScaLAPACK,8,2054.995,2518.161
dipole,ScaLAPACK,16,1606.351,1478.592
dipole,ScaLAPACK,32,904.758,858.165
dipole,ScaLAPACK,64,503.732,517.208
dipole,ScaLAPACK,128,284.88,344.589
dipole,ScaLAPACK,256,190.043,246.434
dipole,ScaLAPACK,512,159.783,193.3
dipole,ScaLAPACK,1024,155.77,160.212
scf,ScaLAPACK,8,845.783,726.635
scf,ScaLAPACK,16,639.148,447.209
scf,ScaLAPACK,32,284.71,290.141
scf,ScaLAPACK,64,144.881,193.085
scf,ScaLAPACK,128,76.104,140.697
scf,ScaLAPACK,256,48.957,111.365
scf,ScaLAPACK,512,44.267,95.211
scf,ScaLAPACK,1024,43.378,81.662
