supercell,ncores,scf_time_s,dipole_time_s,polarization_time_s,wannier_time_s,fourier_ev_time_s,dipole_matrix_time_s,dipole_term_time_s,berry_term_time_s,extra_time_s
4x4x4,128.0,344.706,1990.611,1645.9050000000002,1660.258,870.488,30.082,210.219,200.173,14.352999999999838
4x4x4,256.0,186.486,1022.552,836.066,834.583,459.374,22.792,105.481,107.551,1.483000000000061
4x4x4,512.0,108.696,555.598,446.90199999999993,446.278,264.733,17.952,57.381,58.693,0.62399999999991
4x4x4,768.0,91.78,415.089,323.30899999999997,324.441,221.933,16.014,40.862,42.417,1.132000000000005
4x4x4,900.0,79.484,340.402,260.918,263.953,166.223,13.795,33.963,35.527,3.034999999999968
4x4x4,1080.0,75.306,297.665,222.35900000000004,222.97,150.392,14.707,26.832,28.144,0.6109999999999616
4x4x4,2048.0,71.475,259.888,188.41299999999998,186.676,135.066,13.016,14.364,15.588,1.7369999999999948
8x8x8,1024.0,3735.712,13428.61,9692.898000000001,9620.3,6491.898,9.483,1516.887,1461.966,72.59800000000178
8x8x8,1152.0,3466.474,12378.679,8912.205,8860.912,5791.454,7.136,1395.348,1366.487,51.292999999999665
8x8x8,1536.0,2922.523,9680.519,6757.996,6773.598,4504.721,8.866,1036.285,1051.461,15.601999999999862
8x8x8,2048.0,2076.975,7080.386,5003.411,4999.601,3400.773,4.72,707.342,724.618,3.8100000000004
