non_ideal_rank,supercell,component,component_label,n_points,exponent_m,exponent_std_error,prefactor_A,log10_r_squared,deviation_from_ideal_inverse,time_factor_per_core_doubling,behavior
1,8x8x8,extra_time_s,Extra,4,-4.285583834388558,0.22451319440824083,635558047708175.6,0.9945409582344453,3.285583834388558,0.05127559598119687,faster than ideal inverse
2,4x4x4,dipole_matrix_time_s,Dipole matrix,7,-0.31635029752485594,0.0304944602033147,132.5427802314639,0.95560306939229,0.683649702475144,0.8030989744331744,slower than ideal inverse
3,4x4x4,scf_time_s,SCF (total),7,-0.6015220898139588,0.07530766728995017,5376.166389102462,0.927326216401674,0.3984779101860412,0.6590582607324873,slower than ideal inverse
4,4x4x4,extra_time_s,Extra,7,-0.6633390751878788,0.4301837128676369,120.2230418412873,0.3222851185361274,0.3366609248121212,0.6314152125896613,slower than ideal inverse
5,4x4x4,fourier_ev_time_s,Fourier interpolation,7,-0.7097595015868496,0.06538734133622844,24108.553755412748,0.9592914614521186,0.29024049841315036,0.611422054894912,slower than ideal inverse
6,8x8x8,dipole_matrix_time_s,Dipole matrix,4,-0.7799815111627467,0.4580116651073305,2060.662336332436,0.5918464909352761,0.22001848883725328,0.5823742565951954,slower than ideal inverse
7,8x8x8,scf_time_s,SCF (total),4,-0.8286359896284348,0.10474072252599079,1196030.3080157617,0.9690348672099532,0.17136401037156523,0.5630613427101331,slower than ideal inverse
8,4x4x4,polarization_time_s,Polarization (total),7,-0.8289762517253422,0.062408647582411346,82816.25776804694,0.972442531853619,0.17102374827465783,0.5629285593870642,slower than ideal inverse
9,8x8x8,dipole_term_time_s,Dipole term,4,-1.1074843557612415,0.07524208950802225,3371397.4147268226,0.990852853076972,0.10748435576124149,0.46410258691214495,near ideal inverse
10,4x4x4,berry_term_time_s,Berry term,7,-0.9143781314855196,0.018421832937998053,17315.907665461385,0.9979746339566419,0.08562186851448039,0.5305725227805939,near ideal inverse
11,8x8x8,fourier_ev_time_s,Fourier interpolation,4,-0.9255145370008083,0.016043335367308523,3966512.6702641435,0.9993993908959552,0.07448546299919168,0.5264927109310804,near ideal inverse
12,4x4x4,dipole_term_time_s,Dipole term,7,-0.9554195620976913,0.01927429295710033,21853.741341342953,0.9979692530086404,0.0445804379023087,0.5156915952958097,near ideal inverse
13,8x8x8,polarization_time_s,Polarization (total),4,-0.9631546047234144,0.03536059070116484,7815689.995145788,0.9973115136204668,0.03684539527658559,0.5129341017412513,near ideal inverse
14,8x8x8,berry_term_time_s,Berry term,4,-1.0175668550597379,0.0913811592796182,1750576.9151725434,0.9841266565549304,0.017566855059737874,0.4939487082610639,near ideal inverse
