supercell,calculation,ncores,time
4,dipole,128,1990.611
4,dipole,256,1022.552
4,dipole,512,555.598
4,dipole,768,415.089
4,dipole,900,340.402
4,dipole,1023,530.007
4,dipole,1080,297.665
4,dipole,2048,259.888
4,scf,128,344.706
4,scf,256,186.486
4,scf,512,108.696
4,scf,768,91.78
4,scf,900,79.484
4,scf,1024,114.178
4,scf,1080,75.306
4,scf,2048,71.475
8,dipole,512,
8,dipole,800,
8,dipole,968,14492.441
8,dipole,1024,13428.61
8,dipole,1152,12378.679
8,dipole,1568,8462.285
8,dipole,2048,7080.386
8,scf,2048,2076.975
