functional,molecules,ncores,scf,dipole,polarization_time_s
HSE06,128,128,256.92,389.262,132.34199999999998
HSE06,128,256,145.249,223.829,78.58000000000001
HSE06,128,512,80.085,125.595,45.510000000000005
HSE06,128,1024,58.898,97.711,38.812999999999995
HSE06,196,128,342.05,745.114,403.064
HSE06,196,256,217.415,430.072,212.657
HSE06,196,512,121.444,234.941,113.497
HSE06,196,1024,88.964,165.762,76.798
revPBE,128,128,61.054,189.794,128.74
revPBE,128,256,37.407,111.556,74.149
revPBE,128,512,22.335,67.833,45.498
revPBE,128,1024,16.745,53.867,37.122
revPBE,128,2048,16.228,47.068,30.839999999999996
revPBE,196,128,117.293,484.378,367.085
revPBE,196,256,66.787,268.54,201.75300000000001
revPBE,196,512,36.893,136.629,99.73599999999999
revPBE,196,1024,27.973,105.172,77.199
revPBE,196,2048,24.829,83.272,58.443000000000005
revPBE0,128,256,236.156,317.077,80.92099999999999
revPBE0,128,512,140.561,186.093,45.53199999999998
revPBE0,128,1024,93.321,131.357,38.036
revPBE0,128,2048,71.387,103.03,31.643
revPBE0,196,256,384.058,573.386,189.32799999999997
revPBE0,196,512,239.446,360.034,120.588
revPBE0,196,1024,132.577,219.556,86.97900000000001
revPBE0,196,2048,94.418,160.028,65.60999999999999
