molecules,functional,calculation,ncores,time_s,wannier_time_s,fourier_ev_time_s,dipole_matrix_time_s,dipole_term_time_s,berry_term_time_s,file
128,HSE06,dipole,128,389.262,133.862,77.763,18.97,6.426,6.706999999999999,m=128/xc=HSE06/dipole/aims.n=128.out
128,HSE06,dipole,256,223.829,80.522,53.844,10.349,2.3449999999999998,2.668,m=128/xc=HSE06/dipole/aims.n=256.out
128,HSE06,dipole,512,125.595,47.167,32.894999999999996,5.497,1.4129999999999998,1.6390000000000002,m=128/xc=HSE06/dipole/aims.n=512.out
128,HSE06,dipole,1024,97.711,40.483,29.681,4.673,1.175,1.423,m=128/xc=HSE06/dipole/aims.n=1024.out
128,HSE06,dipole,2048,235.561,34.358,25.97,3.593,1.038,1.131,m=128/xc=HSE06/dipole/aims.n=2048.out
128,HSE06,scf,128,256.92,,,,,,m=128/xc=HSE06/scf/aims.n=128.out
128,HSE06,scf,256,145.249,,,,,,m=128/xc=HSE06/scf/aims.n=256.out
128,HSE06,scf,512,80.085,,,,,,m=128/xc=HSE06/scf/aims.n=512.out
128,HSE06,scf,1024,58.898,,,,,,m=128/xc=HSE06/scf/aims.n=1024.out
128,HSE06,scf,2048,47.899,,,,,,m=128/xc=HSE06/scf/aims.n=2048.out
196,HSE06,dipole,128,745.114,384.008,252.57599999999996,29.372,29.069000000000003,29.732,m=196/xc=HSE06/dipole/aims.n=128.out
196,HSE06,dipole,256,430.072,216.466,155.657,16.368,12.289,12.783999999999999,m=196/xc=HSE06/dipole/aims.n=256.out
196,HSE06,dipole,512,234.941,111.101,84.707,8.123,4.34,4.749,m=196/xc=HSE06/dipole/aims.n=512.out
196,HSE06,dipole,1024,165.762,86.413,67.639,6.324,3.003,3.437,m=196/xc=HSE06/dipole/aims.n=1024.out
196,HSE06,dipole,2048,128.687,64.343,51.592,4.545,2.1079999999999997,2.467,m=196/xc=HSE06/dipole/aims.n=2048.out
196,HSE06,scf,128,342.05,,,,,,m=196/xc=HSE06/scf/aims.n=128.out
196,HSE06,scf,256,217.415,,,,,,m=196/xc=HSE06/scf/aims.n=256.out
196,HSE06,scf,512,121.444,,,,,,m=196/xc=HSE06/scf/aims.n=512.out
196,HSE06,scf,1024,88.964,,,,,,m=196/xc=HSE06/scf/aims.n=1024.out
196,HSE06,scf,2048,67.351,,,,,,m=196/xc=HSE06/scf/aims.n=2048.out
128,revPBE,dipole,128,189.794,130.713,75.726,18.951,6.339,6.635,m=128/xc=revPBE/dipole/aims.n=128.out
128,revPBE,dipole,256,111.556,74.876,49.315,10.139,2.358,2.661,m=128/xc=revPBE/dipole/aims.n=256.out
128,revPBE,dipole,512,67.833,45.509,30.597,6.4319999999999995,1.4329999999999998,1.6420000000000001,m=128/xc=revPBE/dipole/aims.n=512.out
128,revPBE,dipole,1024,53.867,36.881,27.029999999999998,4.559,1.199,1.4169999999999998,m=128/xc=revPBE/dipole/aims.n=1024.out
128,revPBE,dipole,2048,47.068,30.511,23.643,3.5269999999999997,0.901,1.13,m=128/xc=revPBE/dipole/aims.n=2048.out
128,revPBE,scf,128,61.054,,,,,,m=128/xc=revPBE/scf/aims.n=128.out
128,revPBE,scf,256,37.407,,,,,,m=128/xc=revPBE/scf/aims.n=256.out
128,revPBE,scf,512,22.335,,,,,,m=128/xc=revPBE/scf/aims.n=512.out
128,revPBE,scf,1024,16.745,,,,,,m=128/xc=revPBE/scf/aims.n=1024.out
128,revPBE,scf,2048,16.228,,,,,,m=128/xc=revPBE/scf/aims.n=2048.out
196,revPBE,dipole,128,484.378,375.485,247.505,29.329,28.958999999999996,29.649,m=196/xc=revPBE/dipole/aims.n=128.out
196,revPBE,dipole,256,268.54,205.192,146.966,16.139,12.395,12.881999999999998,m=196/xc=revPBE/dipole/aims.n=256.out
196,revPBE,dipole,512,136.629,101.244,77.064,7.929,4.308,4.739,m=196/xc=revPBE/dipole/aims.n=512.out
196,revPBE,dipole,1024,105.172,78.335,61.482,6.151,2.9690000000000003,3.373,m=196/xc=revPBE/dipole/aims.n=1024.out
196,revPBE,dipole,2048,83.272,59.354,47.370999999999995,4.8309999999999995,2.0889999999999995,2.489,m=196/xc=revPBE/dipole/aims.n=2048.out
196,revPBE,scf,128,117.293,,,,,,m=196/xc=revPBE/scf/aims.n=128.out
196,revPBE,scf,256,66.787,,,,,,m=196/xc=revPBE/scf/aims.n=256.out
196,revPBE,scf,512,36.893,,,,,,m=196/xc=revPBE/scf/aims.n=512.out
196,revPBE,scf,1024,27.973,,,,,,m=196/xc=revPBE/scf/aims.n=1024.out
196,revPBE,scf,2048,24.829,,,,,,m=196/xc=revPBE/scf/aims.n=2048.out
128,revPBE0,dipole,256,317.077,80.726,53.855999999999995,10.264000000000001,2.367,2.671,m=128/xc=revPBE0/dipole/aims.n=256.out
128,revPBE0,dipole,512,186.093,50.858,34.361,6.385,1.46,1.7009999999999998,m=128/xc=revPBE0/dipole/aims.n=512.out
128,revPBE0,dipole,1024,131.357,40.349,29.427,4.663,1.179,1.413,m=128/xc=revPBE0/dipole/aims.n=1024.out
128,revPBE0,dipole,2048,103.03,34.293,26.088,3.795,0.956,1.1480000000000001,m=128/xc=revPBE0/dipole/aims.n=2048.out
128,revPBE0,scf,128,430.824,,,,,,m=128/xc=revPBE0/scf/aims.n=128.out
128,revPBE0,scf,256,236.156,,,,,,m=128/xc=revPBE0/scf/aims.n=256.out
128,revPBE0,scf,512,140.561,,,,,,m=128/xc=revPBE0/scf/aims.n=512.out
128,revPBE0,scf,1024,93.321,,,,,,m=128/xc=revPBE0/scf/aims.n=1024.out
128,revPBE0,scf,2048,71.387,,,,,,m=128/xc=revPBE0/scf/aims.n=2048.out
196,revPBE0,dipole,256,573.386,191.352,140.47899999999998,13.111999999999998,10.257,10.705,m=196/xc=revPBE0/dipole/aims.n=256.out
196,revPBE0,dipole,512,360.034,120.728,90.866,9.769,4.552,4.9830000000000005,m=196/xc=revPBE0/dipole/aims.n=512.out
196,revPBE0,dipole,1024,219.556,87.242,67.672,6.467,2.958,3.4059999999999997,m=196/xc=revPBE0/dipole/aims.n=1024.out
196,revPBE0,dipole,2048,160.028,64.387,51.758,4.542,2.121,2.469,m=196/xc=revPBE0/dipole/aims.n=2048.out
196,revPBE0,scf,256,384.058,,,,,,m=196/xc=revPBE0/scf/aims.n=256.out
196,revPBE0,scf,512,239.446,,,,,,m=196/xc=revPBE0/scf/aims.n=512.out
196,revPBE0,scf,1024,132.577,,,,,,m=196/xc=revPBE0/scf/aims.n=1024.out
196,revPBE0,scf,2048,94.418,,,,,,m=196/xc=revPBE0/scf/aims.n=2048.out
