molecules,calculation,ncores,cpu_time_s,wall_time_s,source_file
128,dipole,128,54.646,55.329,m=128/dipole/results/aims.n=128.out
128,dipole,256,51.246,51.904,m=128/dipole/results/aims.n=256.out
128,dipole,512,51.215,51.901,m=128/dipole/results/aims.n=512.out
128,dipole,1024,54.815,55.559,m=128/dipole/results/aims.n=1024.out
128,dipole,2048,54.174,54.792,m=128/dipole/results/aims.n=2048.out
128,scf,128,55.566,56.379,m=128/scf/results/aims.n=128.out
128,scf,256,50.958,51.496,m=128/scf/results/aims.n=256.out
128,scf,512,63.5,64.322,m=128/scf/results/aims.n=512.out
128,scf,1024,51.826,52.444,m=128/scf/results/aims.n=1024.out
128,scf,2048,53.603,54.251,m=128/scf/results/aims.n=2048.out
196,dipole,256,105.834,107.089,m=196/dipole/aims.256.out
196,dipole,512,109.649,110.885,m=196/dipole/aims.512.out
196,dipole,1024,107.838,109.146,m=196/dipole/aims.1024.out
196,dipole,2048,115.898,117.384,m=196/dipole/aims.2048.out
196,scf,256,107.939,109.171,m=196/scf/aims.256.out
196,scf,512,107.028,108.352,m=196/scf/aims.512.out
196,scf,1024,159.099,161.014,m=196/scf/aims.1024.out
196,scf,2048,145.045,146.847,m=196/scf/aims.2048.out
