molecules,calculation,ncores,time
128,dipole,128,553.369
128,dipole,256,387.042
128,dipole,288,315.738
128,dipole,512,241.111
128,dipole,768,214.441
128,dipole,1024,189.175
128,dipole,1152,182.455
128,scf,128,442.532
128,scf,256,295.401
128,scf,288,226.38
128,scf,512,198.613
128,scf,768,163.043
128,scf,1024,162.221
128,scf,1152,141.775
196,dipole,256,695.111
196,dipole,288,694.427
196,dipole,512,503.098
196,dipole,768,418.114
196,dipole,800,460.759
196,dipole,1024,335.557
196,dipole,1152,390.487
196,scf,256,515.12
196,scf,288,473.6
196,scf,512,345.208
196,scf,768,304.297
196,scf,800,357.7
196,scf,1024,229.641
196,scf,1152,281.335
