nodes,supercell,atoms,method,scf_time,dipole_time,polarization_time,converge_time,wannier_time,untracked_time,fourier_ev_time,dipole_matrix_time,dipole_term_time,berry_term_time,blacs_tasks,blacs_grid_rows,blacs_grid_columns,scalapack_block_size
4,2x1x1,4,lapack,15.154,16.601,1.4469999999999992,3.196,,,,,,,,,,
4,2x2x1,8,lapack,7.671,13.972,6.300999999999999,4.083,,,,,,,,,,
4,2x2x2,16,lapack,6.281,12.808,6.527,5.719,,,,,,,,,,
4,2x2x2,16,scalapack,10.341,12.868,2.527000000000001,5.719,2.311,0.21600000000000108,1.131,0.399,0.048,0.09,2,2,1,16
4,4x2x2,32,lapack,8.291,22.673,14.381999999999998,10.777,,,,,,,,,,
4,4x2x2,32,scalapack,8.041,11.066,3.0250000000000004,10.777,3.524,-0.49899999999999967,1.614,0.562,0.07,0.136,4,2,2,16
4,4x4x2,64,lapack,9.079,63.316,54.237,21.661,,,,,,,,,,
4,4x4x2,64,scalapack,7.512,18.172,10.66,21.661,10.559,0.10100000000000087,5.373,1.119,0.336,0.484,8,4,2,16
4,4x4x4,128,lapack,30.679,273.729,243.04999999999998,54.298,,,,,,,,,,
4,4x4x4,128,scalapack,21.016,94.948,73.93199999999999,54.298,73.501,0.4309999999999832,42.227,24.098,1.39,1.803,15,5,3,16
4,8x4x4,256,lapack,178.04,1574.682,1396.642,99.344,,,,,,,,,,
4,8x4x4,256,scalapack,28.453,99.094,70.64099999999999,99.344,70.085,0.5559999999999974,51.316,8.991,3.645,4.189,26,13,2,16
4,8x8x4,512,lapack,1018.333,6557.556,5539.223,459.128,,,,,,,,,,
4,8x8x4,512,scalapack,90.916,492.783,401.867,459.128,402.674,-0.8069999999999595,318.936,7.878,29.2,31.149,43,43,1,16
4,8x8x8,1024,lapack,3417.92,82665.446,79247.526,398.262,,,,,,,,,,
4,8x8x8,1024,scalapack,94.939,551.358,456.419,398.262,385.782,70.637,294.696,4.454,39.165,40.278,64,8,8,16
